,Year,Timesteps,Region,Technology,Carrier,Value
0,2019,1,reg1,Coal_supply,Coal,121621.52432440217
1,2019,2,reg1,Coal_supply,Coal,121621.52432440217
2,2019,3,reg1,Coal_supply,Coal,121621.52432440217
3,2019,4,reg1,Coal_supply,Coal,121621.52432440217
4,2019,5,reg1,Coal_supply,Coal,121621.52432440217
5,2019,6,reg1,Coal_supply,Coal,121621.52432440217
6,2019,7,reg1,Coal_supply,Coal,121621.52432440217
7,2019,8,reg1,Coal_supply,Coal,121621.52432440217
8,2019,9,reg1,Coal_supply,Coal,121621.52432440217
9,2019,10,reg1,Coal_supply,Coal,121621.52432440217
10,2019,11,reg1,Coal_supply,Coal,121621.52432440217
11,2019,12,reg1,Coal_supply,Coal,121621.52432440217
12,2019,13,reg1,Coal_supply,Coal,121621.52432440217
13,2019,14,reg1,Coal_supply,Coal,121621.52432440217
14,2019,15,reg1,Coal_supply,Coal,121621.52432440217
15,2019,16,reg1,Coal_supply,Coal,121621.52432440217
16,2019,17,reg1,Coal_supply,Coal,121621.52432440217
17,2019,18,reg1,Coal_supply,Coal,121621.52432440217
18,2019,19,reg1,Coal_supply,Coal,121621.52432440217
19,2019,20,reg1,Coal_supply,Coal,121621.52432440217
20,2019,21,reg1,Coal_supply,Coal,121621.52432440217
21,2019,22,reg1,Coal_supply,Coal,121621.52432440217
22,2019,23,reg1,Coal_supply,Coal,121621.52432440217
23,2019,24,reg1,Coal_supply,Coal,121621.52432440217
24,2020,1,reg1,Coal_supply,Coal,0.0
25,2020,2,reg1,Coal_supply,Coal,0.0
26,2020,3,reg1,Coal_supply,Coal,0.0
27,2020,4,reg1,Coal_supply,Coal,0.0
28,2020,5,reg1,Coal_supply,Coal,0.0
29,2020,6,reg1,Coal_supply,Coal,0.0
30,2020,7,reg1,Coal_supply,Coal,30406.99195024137
31,2020,8,reg1,Coal_supply,Coal,101591.18013474744
32,2020,9,reg1,Coal_supply,Coal,70862.7318341974
33,2020,10,reg1,Coal_supply,Coal,30587.876209804064
34,2020,11,reg1,Coal_supply,Coal,31797.231090043035
35,2020,12,reg1,Coal_supply,Coal,44915.50474387352
36,2020,13,reg1,Coal_supply,Coal,53401.70368474031
37,2020,14,reg1,Coal_supply,Coal,5941.6077143130315
38,2020,15,reg1,Coal_supply,Coal,0.0
39,2020,16,reg1,Coal_supply,Coal,0.0
40,2020,17,reg1,Coal_supply,Coal,0.0
41,2020,18,reg1,Coal_supply,Coal,49345.49050028782
42,2020,19,reg1,Coal_supply,Coal,97816.14324110783
43,2020,20,reg1,Coal_supply,Coal,121621.52432440217
44,2020,21,reg1,Coal_supply,Coal,109806.98741085907
