,Datetime,Region,Technology,Cost,Value
0,2019,reg1,Coal_supply,fixed_cost,0.0
1,2020,reg1,Coal_supply,fixed_cost,0.0
2,2021,reg1,Coal_supply,fixed_cost,0.0
3,2022,reg1,Coal_supply,fixed_cost,0.0
4,2023,reg1,Coal_supply,fixed_cost,0.0
5,2024,reg1,Coal_supply,fixed_cost,0.0
6,2025,reg1,Coal_supply,fixed_cost,0.0
7,2026,reg1,Coal_supply,fixed_cost,0.0
8,2027,reg1,Coal_supply,fixed_cost,0.0
9,2028,reg1,Coal_supply,fixed_cost,0.0
10,2029,reg1,Coal_supply,fixed_cost,0.0
11,2030,reg1,Coal_supply,fixed_cost,0.0
12,2019,reg1,Diesel_supply,fixed_cost,0.0
13,2020,reg1,Diesel_supply,fixed_cost,0.0
14,2021,reg1,Diesel_supply,fixed_cost,0.0
15,2022,reg1,Diesel_supply,fixed_cost,0.0
16,2023,reg1,Diesel_supply,fixed_cost,0.0
17,2024,reg1,Diesel_supply,fixed_cost,0.0
18,2025,reg1,Diesel_supply,fixed_cost,0.0
19,2026,reg1,Diesel_supply,fixed_cost,0.0
20,2027,reg1,Diesel_supply,fixed_cost,0.0
21,2028,reg1,Diesel_supply,fixed_cost,0.0
22,2029,reg1,Diesel_supply,fixed_cost,0.0
23,2030,reg1,Diesel_supply,fixed_cost,0.0
24,2019,reg1,Oil_supply,fixed_cost,0.0
25,2020,reg1,Oil_supply,fixed_cost,0.0
26,2021,reg1,Oil_supply,fixed_cost,0.0
27,2022,reg1,Oil_supply,fixed_cost,0.0
28,2023,reg1,Oil_supply,fixed_cost,0.0
29,2024,reg1,Oil_supply,fixed_cost,0.0
30,2025,reg1,Oil_supply,fixed_cost,0.0
31,2026,reg1,Oil_supply,fixed_cost,0.0
32,2027,reg1,Oil_supply,fixed_cost,0.0
33,2028,reg1,Oil_supply,fixed_cost,0.0
34,2029,reg1,Oil_supply,fixed_cost,0.0
35,2030,reg1,Oil_supply,fixed_cost,0.0
36,2019,reg1,Biofuel_supply,fixed_cost,0.0
37,2020,reg1,Biofuel_supply,fixed_cost,0.0
38,2021,reg1,Biofuel_supply,fixed_cost,0.0
39,2022,reg1,Biofuel_supply,fixed_cost,0.0
40,2023,reg1,Biofuel_supply,fixed_cost,0.0
41,2024,reg1,Biofuel_supply,fixed_cost,0.0
42,2025,reg1,Biofuel_supply,fixed_cost,0.0
43,2026,reg1,Biofuel_supply,fixed_cost,0.0
44,2027,reg1,Biofuel_supply,fixed_cost,0.0
45,2028,reg1,Biofuel_supply,fixed_cost,0.0
46,2029,reg1,Biofuel_supply,fixed_cost,0.0
47,2030,reg1,Biofuel_supply,fixed_cost,0.0
48,2019,reg1,Hydro_PP_1,fixed_cost,10800000.0
49,2020,reg1,Hydro_PP_1,fixed_cost,10800000.0
50,2021,reg1,Hydro_PP_1,fixed_cost,10800000.0
51,2022,reg1,Hydro_PP_1,fixed_cost,10800000.0
52,2023,reg1,Hydro_PP_1,fixed_cost,10800000.0
53,2024,reg1,Hydro_PP_1,fixed_cost,10800000.0
54,2025,reg1,Hydro_PP_1,fixed_cost,10800000.0
55,2026,reg1,Hydro_PP_1,fixed_cost,10800000.0
56,2027,reg1,Hydro_PP_1,fixed_cost,10800000.0
57,2028,reg1,Hydro_PP_1,fixed_cost,10800000.0
58,2029,reg1,Hydro_PP_1,fixed_cost,10800000.0
59,2030,reg1,Hydro_PP_1,fixed_cost,10800000.0
60,2019,reg1,Hydro_PP_2,fixed_cost,1800000.0
61,2020,reg1,Hydro_PP_2,fixed_cost,1800000.0
62,2021,reg1,Hydro_PP_2,fixed_cost,1800000.0
